Date,type,title_id,from_day,status,year,year_iso,quarter,month,week_iso,day_of_month,day_of_week
2013-01-01,1,1,,Праздничный,2013,2013,1,1,1,1,2
2013-01-02,1,1,,Праздничный,2013,2013,1,1,1,2,3
2013-01-03,1,1,,Праздничный,2013,2013,1,1,1,3,4
2013-01-04,1,1,,Праздничный,2013,2013,1,1,1,4,5
2013-01-05,1,1,,Праздничный,2013,2013,1,1,1,5,6
2013-01-06,1,1,,Праздничный,2013,2013,1,1,1,6,7
2013-01-07,1,2,,Праздничный,2013,2013,1,1,2,7,1
2013-01-08,1,1,,Праздничный,2013,2013,1,1,2,8,2
2013-01-09,,,,Рабочий,2013,2013,1,1,2,9,3
2013-01-10,,,,Рабочий,2013,2013,1,1,2,10,4
2013-01-11,,,,Рабочий,2013,2013,1,1,2,11,5
2013-01-12,,,,Выходной,2013,2013,1,1,2,12,6
2013-01-13,,,,Выходной,2013,2013,1,1,2,13,7
2013-01-14,,,,Рабочий,2013,2013,1,1,3,14,1
2013-01-15,,,,Рабочий,2013,2013,1,1,3,15,2
2013-01-16,,,,Рабочий,2013,2013,1,1,3,16,3
2013-01-17,,,,Рабочий,2013,2013,1,1,3,17,4
2013-01-18,,,,Рабочий,2013,2013,1,1,3,18,5
2013-01-19,,,,Выходной,2013,2013,1,1,3,19,6
2013-01-20,,,,Выходной,2013,2013,1,1,3,20,7
2013-01-21,,,,Рабочий,2013,2013,1,1,4,21,1
2013-01-22,,,,Рабочий,2013,2013,1,1,4,22,2
2013-01-23,,,,Рабочий,2013,2013,1,1,4,23,3
2013-01-24,,,,Рабочий,2013,2013,1,1,4,24,4
2013-01-25,,,,Рабочий,2013,2013,1,1,4,25,5
2013-01-26,,,,Выходной,2013,2013,1,1,4,26,6
2013-01-27,,,,Выходной,2013,2013,1,1,4,27,7
2013-01-28,,,,Рабочий,2013,2013,1,1,5,28,1
2013-01-29,,,,Рабочий,2013,2013,1,1,5,29,2
2013-01-30,,,,Рабочий,2013,2013,1,1,5,30,3
2013-01-31,,,,Рабочий,2013,2013,1,1,5,31,4
2013-02-01,,,,Рабочий,2013,2013,1,2,5,1,5
2013-02-02,,,,Выходной,2013,2013,1,2,5,2,6
2013-02-03,,,,Выходной,2013,2013,1,2,5,3,7
2013-02-04,,,,Рабочий,2013,2013,1,2,6,4,1
2013-02-05,,,,Рабочий,2013,2013,1,2,6,5,2
2013-02-06,,,,Рабочий,2013,2013,1,2,6,6,3
2013-02-07,,,,Рабочий,2013,2013,1,2,6,7,4
2013-02-08,,,,Рабочий,2013,2013,1,2,6,8,5
2013-02-09,,,,Выходной,2013,2013,1,2,6,9,6
2013-02-10,,,,Выходной,2013,2013,1,2,6,10,7
2013-02-11,,,,Рабочий,2013,2013,1,2,7,11,1
